,Package,DownloadRank,Percentile,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,trend,up_down
172,TxDb.Hsapiens.UCSC.hg38.refGene,170/927,18.34,954,868,713,591,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.300000000015,Upward
173,TxDb.Scerevisiae.UCSC.sacCer3.sgdGene,170/927,18.34,905,934,845,595,686,723,717,865,997,1050,845,1012,834,88,NA,NA,NA,12.4791208791172,Upward
174,worm.db0,170/927,18.34,592,605,117,88,132,86,72,105,99,169,239,395,287,192,189,203,229,6.91421568627385,Upward
175,ath1121501.db,175/927,18.88,708,827,487,567,750,698,694,918,946,1254,1213,1498,1504,1337,1488,1117,1165,-54.7352941176429,Downward
176,canine.db0,175/927,18.88,635,603,121,99,143,114,92,144,121,178,253,432,373,289,253,262,291,2.86029411764662,Upward
177,fly.db0,175/927,18.88,613,646,178,116,138,120,105,122,124,192,269,467,356,329,361,495,1149,-18.8848039215715,Downward
178,humanCHRLOC,175/927,18.88,852,667,496,313,370,268,365,424,310,320,354,653,579,385,295,317,374,12.8799019607835,Upward
179,pd.hg18.60mer.expr,175/927,18.88,777,564,293,181,270,261,300,360,241,289,279,637,521,546,714,767,658,-16.7622549019604,Downward
180,ath1121501cdf,180/927,19.42,683,542,544,534,662,681,696,954,949,1257,1350,1869,1891,1847,2024,1678,1832,-104.607843137249,Downward
181,hgu219cdf,180/927,19.42,656,686,470,474,540,464,527,573,474,510,436,608,486,380,304,55,NA,21.5838235294118,Upward
182,pd.mouse430.2,180/927,19.42,718,695,451,450,519,448,497,511,461,512,454,638,391,266,208,128,NA,24.8367647058824,Upward
183,malaria.db0,183/927,19.74,614,568,128,103,134,96,83,121,111,171,191,436,329,230,231,231,267,4.45098039215629,Upward
184,mogene10stv1cdf,183/927,19.74,617,620,395,428,499,559,612,896,901,921,1100,1449,1274,1220,1112,499,NA,-46.4735294117647,Downward
185,pd.clariom.d.human,183/927,19.74,825,743,620,422,566,434,415,420,270,17,NA,NA,NA,NA,NA,NA,NA,71.1272727272725,Upward
186,POCRCannotation.db,183/927,19.74,643,461,128,128,164,83,84,108,94,187,198,406,308,214,198,226,237,5.37009803921514,Upward
187,BSgenome.Cfamiliaris.UCSC.canFam3,187/927,20.17,755,583,1228,975,632,402,233,252,173,256,318,557,426,80,NA,NA,NA,52.0615384615403,Upward
188,EnsDb.Rnorvegicus.v79,187/927,20.17,758,1123,1079,492,377,342,371,243,111,126,77,NA,NA,NA,NA,NA,NA,98.1909090909123,Upward
189,hgu133bcdf,187/927,20.17,639,634,452,438,568,604,744,859,882,1145,1141,1651,1387,1055,1317,1615,1721,-76.7034313725461,Downward
190,illuminaMousev2.db,187/927,20.17,695,610,673,749,2330,1717,2219,2436,961,1020,1026,893,828,588,465,423,403,44.0686274509801,Upward
191,xenopus.db0,187/927,20.17,580,559,110,98,138,84,70,101,109,160,224,409,293,192,171,181,54,9.94117647058821,Upward
192,anopheles.db0,192/927,20.71,595,566,147,139,166,146,124,161,165,248,345,684,638,562,524,467,126,-9.71323529411552,Downward
193,LymphoSeqDB,192/927,20.71,474,899,825,337,522,304,460,592,542,346,NA,NA,NA,NA,NA,NA,NA,28.2727272727272,Upward
194,MafDb.1Kgenomes.phase1.hs37d5,192/927,20.71,397,1701,834,297,214,134,143,146,132,74,NA,NA,NA,NA,NA,NA,NA,108.315151515151,Upward
195,hgfocus.db,195/927,21.04,749,678,314,328,376,387,348,631,602,614,1450,1129,582,513,523,410,561,-9.89215686274397,Downward
196,huex10sttranscriptcluster.db,195/927,21.04,767,572,341,363,424,367,356,607,468,371,426,356,NA,NA,NA,NA,NA,15.9510489510503,Upward
197,mouse430a2.db,195/927,21.04,751,855,584,472,517,520,456,692,601,505,541,890,685,556,600,609,602,1.55147058823524,Upward
198,hgu133b.db,198/927,21.36,785,705,424,479,526,548,667,927,906,1060,845,1158,933,743,763,872,843,-21.8970588235278,Downward
199,rat2302cdf,198/927,21.36,596,514,342,348,428,447,823,1553,1396,1250,960,1161,839,747,787,874,1064,-35.9950980392137,Downward
200,BSgenome.Drerio.UCSC.danRer11,200/927,21.57,704,685,596,359,393,243,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.28571428571,Upward
201,mogene20sttranscriptcluster.db,200/927,21.57,770,569,320,243,392,506,530,709,723,715,722,780,311,NA,NA,NA,NA,-12.0329670329679,Downward
202,pd.mogene.1.1.st.v1,202/927,21.79,532,506,220,128,192,174,197,289,204,280,368,530,389,298,234,126,NA,4.29264705882353,Upward
203,pd.ragene.1.0.st.v1,202/927,21.79,570,479,190,116,158,157,163,228,164,282,331,456,366,266,227,237,172,4.37990196078447,Upward
204,u133x3p.db,202/927,21.79,513,600,245,259,258,252,219,408,326,307,300,501,391,317,539,309,348,-0.0906862745097315,Downward
205,BSgenome.Celegans.UCSC.ce10,205/927,22.11,626,744,490,228,312,301,332,410,378,519,569,813,543,100,NA,NA,NA,5.29890109889916,Upward
206,BSgenome.Hsapiens.NCBI.T2T.CHM13v2.0,205/927,22.11,595,680,335,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.8,Upward
207,hgfocusprobe,205/927,22.11,516,572,198,127,172,163,146,174,142,226,269,551,408,349,354,383,436,-6.10049019607862,Downward
208,TxDb.Mmusculus.UCSC.mm39.refGene,205/927,22.11,744,1225,914,476,279,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.457142857159,Upward
209,XtraSNPlocs.Hsapiens.dbSNP144.GRCh38,205/927,22.11,814,1051,1228,503,445,229,301,299,170,139,70,NA,NA,NA,NA,NA,NA,100.854545454549,Upward
210,hugene21sttranscriptcluster.db,210/927,22.65,729,523,246,247,274,248,275,323,262,289,291,481,221,NA,NA,NA,NA,15.9395604395606,Upward
211,mogene10stprobeset.db,211/927,22.76,504,561,191,174,247,223,251,338,322,462,551,757,675,615,586,509,326,-16.7279411764685,Downward
212,BSgenome.Dmelanogaster.UCSC.dm2,212/927,22.87,494,576,451,304,321,201,199,227,187,294,325,603,500,424,349,357,382,0.490196078431228,Upward
213,hugene10stprobeset.db,212/927,22.87,697,607,341,369,469,406,488,747,1057,1228,1346,1180,856,694,659,659,379,-18.1862745098003,Downward
214,pd.rice,212/927,22.87,506,486,208,180,207,93,92,181,124,178,238,423,325,197,102,NA,NA,9.67857142857142,Upward
215,hthgu133pluspmcdf,215/927,23.19,557,534,306,375,434,377,421,477,394,518,630,725,511,438,407,392,245,1.85784313725594,Upward
216,pd.hg.u219,216/927,23.3,593,514,337,303,360,259,263,322,206,256,270,450,323,203,102,NA,NA,18.278571428571,Upward
217,BSgenome.Celegans.UCSC.ce6,217/927,23.41,500,443,173,134,203,165,186,310,310,461,520,593,510,447,351,64,NA,-5.87058823529412,Downward
218,BSgenome.Ggallus.UCSC.galGal3,217/927,23.41,491,881,786,273,229,152,192,245,193,234,298,573,483,387,316,338,358,11.3602941176461,Upward
219,BSgenome.Hsapiens.UCSC.hg17,217/927,23.41,444,527,277,174,218,163,155,186,167,232,305,641,488,412,380,379,422,-8.47058823529389,Downward
220,mogene11sttranscriptcluster.db,217/927,23.41,463,539,174,138,165,128,145,229,183,258,264,506,390,307,271,148,NA,1.64411764705882,Upward
221,celegans.db,221/927,23.84,535,722,276,321,457,507,360,369,288,339,363,604,506,389,358,335,376,6.58333333333297,Upward
222,GenomicState,221/927,23.84,793,718,887,474,693,343,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.214285714283,Upward
223,grasp2db,221/927,23.84,583,705,369,245,199,115,168,197,159,163,110,NA,NA,NA,NA,NA,NA,48.0909090909108,Upward
224,hgu133a2probe,221/927,23.84,519,455,222,340,360,323,386,465,666,697,703,959,720,631,839,845,1007,-39.2279411764693,Downward
225,hguqiagenv3.db,221/927,23.84,452,478,151,152,184,96,100,132,109,193,218,445,335,275,263,267,310,-1.5245098039218,Downward
226,mgug4122a.db,221/927,23.84,465,489,160,129,226,175,172,250,229,342,335,682,515,456,452,443,442,-14.6470588235286,Downward
227,PartheenMetaData.db,221/927,23.84,436,498,128,78,131,87,93,130,115,194,184,403,299,235,222,242,254,0.0808823529409691,Upward
228,BSgenome.Mmusculus.UCSC.mm8,228/927,24.6,463,1148,678,233,225,161,177,205,247,238,318,640,473,371,381,385,376,10.747549019607,Upward
229,hgu133atagcdf,228/927,24.6,469,591,296,141,176,168,202,383,292,394,868,861,697,644,794,956,1245,-48.4607843137251,Downward
230,hgu133atagprobe,228/927,24.6,440,511,202,123,158,139,144,190,155,221,271,509,414,354,358,400,451,-9.3651960784314,Downward
231,TxDb.Athaliana.BioMart.plantsmart28,228/927,24.6,775,625,576,469,473,458,381,385,229,193,37,NA,NA,NA,NA,NA,NA,61.0818181818194,Upward
232,BSgenome.Rnorvegicus.UCSC.rn4,232/927,25.03,454,625,355,151,190,135,152,187,181,234,331,632,463,423,312,319,293,-1.61764705882323,Downward
233,canine2.db,232/927,25.03,428,534,163,180,206,130,135,182,156,224,274,475,409,327,312,301,316,-3.11029411764698,Downward
234,ecoliSakai.db0,232/927,25.03,503,574,112,104,126,102,94,124,119,177,205,458,334,288,345,429,1018,-18.6225490196102,Downward
235,hthgu133acdf,232/927,25.03,518,453,253,327,485,482,554,666,478,832,1031,1254,1079,877,713,671,588,-32.8627450980358,Downward
236,LAPOINTE.db,232/927,25.03,424,484,130,138,177,90,100,136,105,188,209,428,305,250,217,235,265,0.335784313725253,Upward
237,MafDb.gnomAD.r2.1.GRCh38,232/927,25.03,473,550,324,259,239,191,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3571428571396,Upward
238,Norway981.db,232/927,25.03,450,460,139,145,184,93,87,125,108,177,200,431,296,241,224,247,265,0.590686274509541,Upward
239,SHDZ.db,232/927,25.03,439,473,138,132,166,93,88,122,105,187,204,436,288,218,199,225,247,1.62254901960755,Upward
240,ag.db,240/927,25.89,566,507,182,174,226,187,175,238,199,348,377,746,752,651,649,641,678,-27.7352941176459,Downward
241,pd.hg.u133a.2,240/927,25.89,574,508,417,383,520,452,514,535,437,437,386,523,368,223,99,NA,NA,18.6750000000007,Upward
242,bovineprobe,242/927,26.11,462,405,144,137,166,144,161,194,182,279,323,681,653,586,548,569,700,-28.6495098039208,Downward
243,chicken.db,242/927,26.11,438,492,179,211,226,132,160,380,319,268,256,491,389,313,294,306,337,-2.203431372549,Downward
244,illuminaHumanv1.db,242/927,26.11,501,740,574,406,1929,1260,1842,2438,806,734,837,1184,1037,830,791,596,657,9.43137254902078,Upward
245,moe430a.db,242/927,26.11,547,602,333,507,375,363,372,652,566,452,502,772,665,601,531,656,637,-12.7524509803915,Downward
246,mouse430a2cdf,242/927,26.11,470,428,224,227,277,243,317,518,424,523,560,896,708,607,677,682,757,-31.5343137254888,Downward
247,OperonHumanV3.db,242/927,26.11,441,467,128,94,152,89,106,136,124,197,215,430,311,255,234,247,260,-0.958333333333423,Downward
248,pd.rat230.2,242/927,26.11,505,549,466,592,772,932,826,660,523,226,275,445,315,188,95,NA,NA,34.232142857142,Upward
249,rgug4131a.db,242/927,26.11,412,471,159,193,210,96,91,148,131,209,231,487,362,261,245,272,313,-1.94362745098056,Downward
250,ricecdf,242/927,26.11,442,424,177,193,245,253,271,486,410,454,405,702,553,461,501,479,537,-17.7549019607834,Downward
251,barley1cdf,251/927,27.08,462,359,136,128,183,178,165,265,160,265,318,688,631,607,584,591,709,-30.1740196078423,Downward
252,BSgenome.Mfascicularis.NCBI.5.0,251/927,27.08,577,452,180,192,211,152,138,199,122,159,77,NA,NA,NA,NA,NA,NA,35.5000000000011,Upward
253,clariomdhumantranscriptcluster.db,251/927,27.08,696,488,369,401,356,294,295,335,208,18,NA,NA,NA,NA,NA,NA,NA,52.1939393939392,Upward
254,pd.hu6800,251/927,27.08,457,449,233,154,199,115,125,187,117,183,192,400,301,199,97,NA,NA,9.24642857142858,Upward
255,pd.moex.1.0.st.v1,251/927,27.08,465,487,240,192,258,177,224,291,276,304,390,703,428,310,277,272,164,1.2205882352949,Upward
256,zebrafishcdf,251/927,27.08,466,402,181,213,204,172,151,329,193,269,388,564,420,358,348,355,498,-10.0686274509805,Downward
257,ChemmineDrugs,257/927,27.72,484,633,411,242,220,147,189,258,188,190,145,26,NA,NA,NA,NA,NA,38.7797202797236,Upward
258,hgu133bprobe,257/927,27.72,465,409,139,197,203,148,166,225,189,306,326,632,493,441,428,530,572,-18.7990196078427,Downward
259,hguDKFZ31.db,257/927,27.72,407,481,124,97,154,98,103,142,124,186,215,438,341,269,263,269,296,-3.32843137254906,Downward
260,hugene11stprobeset.db,257/927,27.72,437,551,178,137,189,145,170,224,225,278,348,541,434,374,336,175,NA,-2.80588235294118,Downward
261,human610quadv1bCrlmm,257/927,27.72,419,618,243,116,146,131,147,202,146,205,256,446,348,265,248,144,NA,5.53235294117647,Upward
262,MmAgilentDesign026655.db,257/927,27.72,423,508,194,180,214,129,131,190,161,236,260,545,362,263,235,41,NA,5.32941176470588,Upward
263,moe430acdf,257/927,27.72,461,372,149,184,204,199,214,506,457,390,536,765,657,645,607,839,928,-39.4509803921558,Downward
264,mouse4302probe,257/927,27.72,473,430,162,181,216,206,249,371,408,635,775,1050,845,835,832,976,1173,-56.55882352941,Downward
265,poplarcdf,257/927,27.72,442,352,135,92,129,116,143,277,131,207,226,462,334,288,234,292,369,-6.18627450980404,Downward
266,riceprobe,257/927,27.72,438,410,152,189,180,91,110,190,163,252,302,507,380,280,330,343,384,-7.6372549019607,Downward
267,saureusprobe,257/927,27.72,438,385,134,174,171,78,87,146,105,180,196,418,301,212,198,215,253,0.745098039215416,Upward
268,ath1121501probe,268/927,28.91,466,409,165,204,240,248,285,395,357,548,642,1067,1073,1011,1056,1017,1224,-64.600490196076,Downward
269,bovinecdf,268/927,28.91,464,395,146,167,175,242,291,396,300,351,433,757,741,700,654,624,805,-34.5392156862734,Downward
270,celeganscdf,268/927,28.91,464,359,137,203,249,246,238,382,227,281,354,598,467,415,406,420,495,-13.2549019607839,Downward
271,celegansprobe,268/927,28.91,444,385,131,163,153,119,127,172,121,220,270,503,368,311,297,311,420,-8.26470588235307,Downward
272,hgu95ccdf,268/927,28.91,444,361,119,110,148,128,157,270,150,242,278,497,393,360,365,404,475,-13.6666666666665,Downward
273,mgu74aprobe,268/927,28.91,452,334,129,177,182,85,85,114,111,185,209,461,333,250,261,291,405,-6.2034313725494,Downward
274,mgu74av2cdf,268/927,28.91,459,390,169,181,259,236,259,446,352,408,442,737,675,605,730,703,890,-35.8333333333325,Downward
275,mogene11stprobeset.db,268/927,28.91,419,502,156,110,165,111,96,164,145,203,259,482,360,295,260,165,NA,-0.123529411764707,Downward
276,mogene21sttranscriptcluster.db,268/927,28.91,504,583,284,403,543,502,452,244,208,278,270,428,214,NA,NA,NA,NA,21.2857142857145,Upward
277,pd.bovgene.1.1.st,268/927,28.91,465,681,304,89,155,98,104,200,118,175,208,407,294,136,NA,NA,NA,14.3252747252752,Upward
278,plasmodiumanophelescdf,268/927,28.91,433,503,201,155,180,124,130,237,149,239,247,526,362,312,281,326,366,-4.0686274509805,Downward
279,rae230acdf,268/927,28.91,458,350,166,183,200,179,211,350,284,310,337,594,406,387,412,446,565,-15.4534313725489,Downward
280,ragene10stprobeset.db,268/927,28.91,393,494,137,101,149,104,83,148,122,200,212,466,336,263,253,268,159,-0.480392156862302,Downward
281,BSgenome.Alyrata.JGI.v1,281/927,30.31,423,425,147,114,174,145,152,193,158,222,301,619,576,459,268,NA,NA,-13.6607142857121,Downward
282,BSgenome.Athaliana.TAIR.04232008,281/927,30.31,430,394,203,157,217,154,181,216,179,282,358,662,602,503,494,517,564,-21.7965686274502,Downward
283,BSgenome.Drerio.UCSC.danRer10,281/927,30.31,531,1319,1085,591,748,923,754,418,276,240,10,NA,NA,NA,NA,NA,NA,88.0727272727287,Upward
284,BSgenome.Mmulatta.UCSC.rheMac10,281/927,30.31,549,1394,659,284,240,147,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.107142857134,Upward
285,canine2probe,281/927,30.31,441,380,138,194,184,120,99,148,141,199,288,464,398,312,278,305,373,-6.56372549019611,Downward
286,hgu95aprobe,281/927,30.31,444,390,140,132,184,198,143,232,222,285,326,555,497,378,423,546,635,-20.3186274509802,Downward
287,hgu95bcdf,281/927,30.31,459,361,119,129,161,161,139,268,157,267,294,549,414,380,374,419,474,-14.2058823529409,Downward
288,maizeprobe,281/927,30.31,441,340,113,98,135,87,82,148,108,195,219,430,320,248,239,252,344,-5.40196078431392,Downward
289,mgu74av2.db,281/927,30.31,508,573,284,246,295,314,317,549,463,396,406,760,632,493,531,533,685,-16.0882352941174,Downward
290,mgu74av2probe,281/927,30.31,447,342,112,111,140,111,120,170,141,236,247,504,416,330,374,365,542,-15.1740196078433,Downward
291,mgu74cprobe,281/927,30.31,448,332,115,135,151,88,97,135,105,193,199,445,315,235,241,277,322,-4.53921568627465,Downward
292,pd.ht.hg.u133.plus.pm,281/927,30.31,499,440,309,262,317,263,274,279,211,275,316,502,362,255,206,131,NA,9.94264705882353,Upward
293,porcineprobe,281/927,30.31,432,381,143,192,201,103,81,133,131,200,232,419,341,242,222,270,319,-2.25490196078457,Downward
294,rae230bprobe,281/927,30.31,434,391,106,96,156,89,91,141,112,188,207,466,291,210,217,253,307,-2.95098039215709,Downward
295,rat2302probe,281/927,30.31,448,378,157,185,210,164,680,603,645,796,769,593,433,368,367,412,632,-15.772058823529,Downward
296,rgu34a.db,281/927,30.31,456,574,221,258,257,211,188,399,357,295,289,531,412,325,296,367,412,-1.62254901960808,Downward
297,RmiR.Hs.miRNA,281/927,30.31,444,408,187,234,401,260,418,682,884,1126,1415,2166,1641,1347,1008,1287,260,-69.3333333333237,Downward
298,RnAgilentDesign028282.db,281/927,30.31,422,513,197,191,273,193,191,213,102,194,202,480,312,206,179,38,NA,11.0617647058824,Upward
299,wheatcdf,281/927,30.31,428,355,136,158,185,139,128,254,154,236,268,511,373,302,299,298,344,-6.75735294117628,Downward
300,yeast2probe,281/927,30.31,434,380,124,133,198,154,122,185,226,331,341,654,593,510,539,507,547,-24.0980392156852,Downward
301,zebrafishprobe,281/927,30.31,436,385,129,151,140,94,99,144,122,200,237,482,344,264,240,264,386,-5.62745098039246,Downward
302,agprobe,302/927,32.58,452,341,148,180,187,127,143,175,150,276,320,739,683,599,612,601,691,-31.5833333333322,Downward
303,barley1probe,302/927,32.58,449,356,136,200,214,129,124,154,134,262,304,681,609,562,534,533,649,-26.3259803921561,Downward
304,BSgenome.Btaurus.UCSC.bosTau3,302/927,32.58,434,452,289,157,192,121,145,210,139,226,310,658,578,474,417,467,512,-16.1348039215681,Downward
305,canine2cdf,302/927,32.58,451,352,128,161,168,158,153,263,164,243,297,535,447,395,369,384,407,-12.2622549019603,Downward
306,FDb.InfiniumMethylation.hg18,302/927,32.58,491,712,360,259,261,182,195,297,352,291,354,476,266,NA,NA,NA,NA,11.8736263736265,Upward
307,hgu95bprobe,302/927,32.58,433,340,130,147,158,97,108,163,120,202,247,450,352,302,288,339,420,-9.22549019607854,Downward
308,IlluminaHumanMethylation27k.db,302/927,32.58,486,491,298,283,304,298,360,557,428,557,769,1220,1047,1006,736,416,77,-22.0637254901914,Downward
309,illuminaMousev1.db,302/927,32.58,437,399,381,251,1654,818,1376,1637,180,277,339,598,529,366,300,320,324,24.416666666666,Upward
310,lumiMouseAll.db,302/927,32.58,449,414,172,209,240,162,180,272,268,367,478,915,835,596,556,541,553,-27.6715686274492,Downward
311,mgu74bprobe,302/927,32.58,455,360,122,140,145,90,92,123,108,178,205,412,320,238,241,273,322,-3.62254901960807,Downward
312,moe430aprobe,302/927,32.58,445,358,148,200,190,108,123,175,148,231,278,501,403,338,351,407,524,-12.9411764705884,Downward
313,moe430bcdf,302/927,32.58,452,318,109,119,141,136,127,271,152,229,267,500,408,352,370,431,453,-14.5294117647055,Downward
314,mouse430a2probe,302/927,32.58,459,342,143,136,169,117,118,177,172,268,304,589,437,390,384,426,528,-16.6838235294115,Downward
315,mu11ksubaprobe,302/927,32.58,461,363,125,139,149,79,93,161,89,189,198,424,318,229,227,243,276,-1.69362745098055,Downward
316,pd.hg.u95a,302/927,32.58,432,1229,448,241,279,210,217,232,226,266,330,670,371,265,203,135,NA,22.2911764705882,Upward
317,porcinecdf,302/927,32.58,436,360,121,102,190,147,142,319,226,290,339,593,434,341,342,357,392,-11.8308823529406,Downward
318,ragene11stprobeset.db,302/927,32.58,385,474,135,137,160,77,75,153,105,177,196,436,308,207,196,124,NA,3.5485294117647,Upward
319,rhesuscdf,302/927,32.58,440,350,148,153,172,126,137,254,172,235,270,470,387,266,270,325,366,-6.54166666666663,Downward
320,rhesusprobe,302/927,32.58,441,353,141,169,163,84,79,162,141,198,257,461,323,210,205,239,308,-2.18137254901984,Downward
321,u133aaofav2cdf,302/927,32.58,442,371,167,230,250,191,222,358,312,432,435,631,492,413,380,367,422,-11.7475490196071,Downward
322,u133x3pcdf,302/927,32.58,472,380,187,196,215,221,226,301,237,325,378,578,474,357,363,378,387,-8.82843137254851,Downward
323,vitisviniferaprobe,302/927,32.58,452,352,118,133,131,84,85,131,111,189,201,407,309,207,202,210,302,-1.59558823529448,Downward
324,BSgenome.Tgondii.ToxoDB.7.0,324/927,34.95,399,463,187,167,220,142,130,168,123,195,280,511,335,161,NA,NA,NA,2.06373626373584,Upward
325,canineprobe,324/927,34.95,442,341,132,193,176,106,100,152,104,194,216,475,359,288,260,284,353,-5.50245098039227,Downward
326,chickencdf,324/927,34.95,441,339,129,123,156,160,180,296,215,249,271,518,472,386,379,408,479,-14.8897058823526,Downward
327,citrusprobe,324/927,34.95,427,353,122,98,137,110,92,149,98,193,225,422,329,276,262,277,338,-6.12745098039222,Downward
328,cottonprobe,324/927,34.95,434,368,131,149,153,92,106,151,126,189,220,464,340,275,251,273,286,-3.99754901960777,Downward
329,drosgenome1cdf,324/927,34.95,441,345,142,201,198,157,182,314,199,276,321,543,442,422,435,472,543,-17.0147058823526,Downward
330,ecoliasv2probe,324/927,34.95,428,365,121,139,152,98,99,132,112,205,218,445,344,273,278,290,304,-5.42892156862735,Downward
331,hapmap370k,324/927,34.95,405,406,144,123,159,106,150,178,137,210,269,556,373,279,310,182,NA,-4.22794117647059,Downward
332,hthgu133aprobe,324/927,34.95,439,374,155,214,200,154,140,187,184,283,329,555,435,365,367,369,383,-10.1985294117642,Downward
333,htmg430aprobe,324/927,34.95,407,401,125,151,142,91,130,146,125,184,197,416,337,280,265,296,290,-4.26715686274502,Downward
334,hu35ksubaprobe,324/927,34.95,443,360,120,154,154,91,92,137,121,203,215,437,310,253,257,246,287,-3.05147058823535,Downward
335,hu6800probe,324/927,34.95,430,363,130,161,164,116,146,241,209,297,358,676,548,517,727,1307,2117,-71.4754901960811,Downward
336,hugene10stv1probe,324/927,34.95,480,466,279,275,379,395,453,581,772,997,1137,1090,737,535,480,229,NA,-20.4426470588235,Downward
337,mgu74bcdf,324/927,34.95,438,333,106,132,149,109,109,215,101,200,215,432,330,253,268,295,343,-5.98284313725495,Downward
338,moe430bprobe,324/927,34.95,429,345,115,139,155,110,106,145,114,208,234,447,360,278,277,332,380,-8.171568627451,Downward
339,SNPlocs.Hsapiens.dbSNP149.GRCh38,324/927,34.95,564,564,330,213,229,116,129,162,97,NA,NA,NA,NA,NA,NA,NA,NA,59.55,Upward
340,sugarcaneprobe,324/927,34.95,434,351,103,127,149,77,73,122,105,181,199,406,294,196,197,211,281,-1.42892156862775,Downward
341,tomatoprobe,324/927,34.95,434,355,132,179,168,73,82,152,122,219,203,430,319,213,216,225,328,-2.20588235294155,Downward
342,TxDb.Drerio.UCSC.danRer10.refGene,324/927,34.95,521,969,858,524,790,1001,812,345,218,100,NA,NA,NA,NA,NA,NA,NA,63.8545454545454,Upward
343,TxDb.Rnorvegicus.UCSC.rn6.refGene,324/927,34.95,663,1416,779,423,371,403,510,1108,988,250,NA,NA,NA,NA,NA,NA,NA,28.9393939393942,Upward
344,vitisviniferacdf,324/927,34.95,424,345,116,147,146,125,118,232,114,197,211,419,297,236,237,237,311,-2.81372549019628,Downward
345,xenopuslaevisprobe,324/927,34.95,434,356,120,126,133,70,78,117,103,181,197,398,299,203,182,206,296,-1.35539215686314,Downward
346,yeast2.db,324/927,34.95,508,677,352,269,394,347,370,553,632,772,745,1120,888,572,590,550,522,-18.2107843137235,Downward
347,BSgenome.Btaurus.UCSC.bosTau4,347/927,37.43,420,450,272,106,174,115,124,175,139,225,305,639,526,469,398,437,402,-14.0392156862737,Downward
348,BSgenome.Cfamiliaris.UCSC.canFam2,347/927,37.43,438,385,290,167,197,134,133,187,155,219,304,596,497,451,349,367,394,-10.4313725490191,Downward
349,BSgenome.Mmusculus.UCSC.mm10.masked,347/927,37.43,445,775,615,469,371,276,275,347,249,286,263,347,NA,NA,NA,NA,NA,32.0349650349704,Upward
350,caninecdf,347/927,37.43,437,340,118,151,164,130,124,235,120,216,238,486,366,305,306,309,371,-7.93627450980383,Downward
351,chickenprobe,347/927,37.43,444,355,126,98,135,108,113,169,122,210,266,483,372,304,279,305,377,-8.53431372549014,Downward
352,drosophila2cdf,347/927,37.43,468,380,167,189,227,242,309,525,441,553,758,959,669,605,622,583,589,-29.5196078431351,Downward
353,ecoliprobe,347/927,37.43,443,341,130,141,148,89,93,131,114,194,218,426,333,276,277,277,301,-4.99264705882347,Downward
354,hgu95cprobe,347/927,37.43,429,364,151,201,178,95,111,158,123,200,242,435,362,291,281,333,403,-7.02205882352961,Downward
355,hgu95dprobe,347/927,37.43,449,339,132,162,160,94,97,153,122,202,221,465,353,284,279,321,396,-7.65686274509817,Downward
356,hgu95eprobe,347/927,37.43,442,344,139,217,181,102,110,151,123,205,243,452,340,281,280,315,392,-6.29656862745118,Downward
357,hthgu133bprobe,347/927,37.43,441,369,141,164,174,97,103,142,116,192,225,433,334,274,270,289,312,-4.10294117647063,Downward
358,htmg430acdf,347/927,37.43,405,371,144,103,149,156,185,289,196,246,266,492,389,321,335,349,315,-8.45343137254846,Downward
359,htratfocusprobe,347/927,37.43,439,356,113,135,146,100,88,116,90,180,185,426,301,256,261,272,275,-3.55147058823529,Downward
360,lumiMouseIDMapping,347/927,37.43,435,375,142,146,173,132,151,222,213,326,473,785,751,515,646,449,399,-24.799019607841,Downward
361,maizecdf,347/927,37.43,425,329,127,161,176,166,183,305,177,251,276,480,348,289,299,294,376,-6.8553921568627,Downward
362,medicagocdf,347/927,37.43,427,333,149,150,149,118,137,247,121,190,229,432,312,265,266,264,364,-4.92892156862768,Downward
363,mgu74bv2probe,347/927,37.43,441,308,106,140,141,92,79,124,106,181,203,455,338,273,258,283,338,-6.76470588235296,Downward
364,mgu74cv2probe,347/927,37.43,440,333,133,152,162,97,109,127,101,195,208,433,333,267,266,284,338,-5.32352941176482,Downward
365,mwgcod.db,347/927,37.43,424,388,135,143,202,95,88,144,110,188,206,465,320,237,229,246,269,-1.62254901960793,Downward
366,paeg1aprobe,347/927,37.43,440,322,111,134,129,81,93,154,96,198,209,406,302,236,232,244,274,-3.19852941176475,Downward
367,pd.rta.1.0,347/927,37.43,301,600,239,103,185,109,134,187,117,131,75,NA,NA,NA,NA,NA,NA,29.59090909091,Upward
368,poplarprobe,347/927,37.43,422,348,126,165,164,84,82,148,99,177,237,430,303,240,201,248,298,-2.61274509803941,Downward
369,ragene10sttranscriptcluster.db,347/927,37.43,406,521,164,168,181,140,155,215,227,320,353,616,557,522,546,491,241,-14.6200980392138,Downward
370,ragene11sttranscriptcluster.db,347/927,37.43,377,531,114,98,136,83,78,144,119,196,188,435,308,222,191,123,NA,3.24264705882353,Upward
